inj_id,chirp_mass,mass_ratio,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,luminosity_distance,dec,ra,cos_theta_jn,psi,phase,geocent_time
0,14.807287963319412,0.6322324995820489,0.7886843345078536,0.7578610697099508,1.58557797552303,1.3762037892202303,5.745084255336149,0.6277281689486646,911.987039213529,-0.2707996420735983,4.313505898394644,0.9725138662479689,0.11355207583736106,5.560382428510214,0.9762541118537486
1,18.854105651106273,0.4001832887746078,0.44606927875365315,0.5681574105358086,0.622501418511352,0.807249095585964,4.487458368154034,5.138601633246829,982.8065025037446,0.23698562212410323,1.801198734546063,-0.2255085759071742,0.44857467899238623,1.0333001364216148,0.9259502791457346
2,17.503649533240164,0.28218006552295377,0.42295896548806383,0.9589598822420701,1.848764317444806,0.8791842454881804,5.983943262514787,5.946437981054707,776.8783748466578,1.0047854675121106,4.597719408515829,0.5794411936781674,0.8613717215408198,1.7745166300061732,0.9508113828017193
3,14.900805759994629,0.24947986620516852,0.1407622019914595,0.8959800793936292,2.317521805524788,0.9244266164292462,2.858822416869538,6.148619259705623,843.7800362871891,-0.11108404712101205,2.8608832692325397,-0.7310150813508323,2.814340548907862,0.35058431252694927,0.9882378584670173
4,17.01537826945966,0.210112201096342,0.9852798600144884,0.17339027042931543,1.145190174145551,0.27904623705323733,2.45007529933259,4.613635981771368,328.2687552603639,-1.0247125640564336,5.34826636392223,-0.544272224957032,2.307246134319408,3.0825136385524194,0.9373138497860465
5,17.11407609248035,0.5464926142493577,0.7985311015723986,0.9439231508568332,0.5166404612564037,1.4682979449509488,2.1136136206776315,5.971654856267855,781.290111945831,1.224724029231991,3.3317537008028757,0.9449383085415366,0.9187605423572621,2.0863465848392146,1.021575765533918
6,14.119066935723987,0.20968017014883036,0.5955593565994731,0.7746366274825737,2.340311348558263,2.3008107151795105,3.6371429354420606,1.424054621551815,714.5652833912296,-0.6563066481994556,4.4183192273817475,-0.6806567501980552,1.8926976328046874,1.1784836100294154,0.9655160602988172
7,16.152754576952873,0.3907897158361423,0.27720270647373557,0.7763193047019082,0.6246751845291014,1.1590992841714696,3.7995159685661553,2.239935315508113,565.8434496936516,-0.46639993428525617,3.450597811517922,0.39139864358227294,0.192740684331368,3.100688340199824,1.02255066967845
8,16.92653920558201,0.8391643201494705,0.19613471354247744,0.30787075617207715,1.5063550287552419,0.41959503818590066,3.874104936074695,1.2689024142336214,405.419222958195,-0.5654949177582255,4.208392582026501,-0.9794176120910172,1.875258724800023,4.369341879053028,0.9270883143478699
9,19.386414262909927,0.9728430736491469,0.7723350178249603,0.2962191463546039,1.8171715795355032,0.9192591830717504,0.9610389669970961,2.996370655739231,787.5445589746571,-0.800399582036231,2.9528697803318544,-0.26912431343355037,2.845362258134364,0.5160747755592341,1.0374377103144585
